country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age
Tunisia,2023,2725000,1892857.142857143,1664285.7142857143,650000,6700000,750000,1591666.6666666667,1500000,750000,1156250,22.75,23.428571428571427,27,26.833333333333332,24.5,28.25,26.666666666666668,30.5,24.5,24,NA,NA,350000,NA,22,NA
Tunisia,2024,4400000,1931818.1818181819,1856250,575000,7000000,600000,1562500,925000,580000,840000,24.333333333333332,24.454545454545453,28.375,27.2,25.5,28,27.5,29.5,24.2,22.6,NA,NA,1000000,NA,22.5,NA
Tunisia,2025,4783333.333333333,2420000,1235000,450000,4200000,387500,2971428.5714285714,1383333.3333333333,425000,590000,25.666666666666668,26.4,28,27.8,26,30.333333333333332,25.571428571428573,31.333333333333332,25.5,23.8,NA,NA,1500000,NA,23.5,NA
Poland,2018,1625000,18466666.666666668,4187500,22928571.42857143,5250000,11550000,2075000,1350000,1000000,3937500,26.5,27,28,25.142857142857142,27,28.6,32.5,26.333333333333332,33,28.25,NA,NA,3500000,NA,24,NA
Poland,2019,3900000,14666666.666666666,3587500,28575000,5500000,9280000,2550000,2400000,550000,3475000,24.5,26,28.75,26,28,29.2,27,30,34,27.25,NA,NA,2400000,NA,25,NA
Poland,2020,4850000,22000000,5975000,32333333.333333332,7100000,11575000,2333333.3333333335,2500000,NA,5500000,25.5,25,28.5,28,30,30,26.333333333333332,26.666666666666668,NA,24,NA,NA,4000000,NA,26,NA
Poland,2021,2950000,17000000,5008333.333333333,16842857.14285714,4200000,9100000,2750000,1750000,NA,5875000,20,24,25.333333333333332,25.857142857142858,26.6,25.714285714285715,23.5,26,NA,24.5,NA,NA,2500000,NA,25,NA
Poland,2022,18000000,9216666.666666666,5285000,11000000,2550000,5700000,4420000,850000,NA,9775000,24,25.166666666666668,29,28.4,31,26.8,25.8,24,NA,27,NA,NA,8166666.666666667,NA,25.666666666666668,NA
Poland,2023,7600000,11625000,4415000,15600000,1908333.3333333333,5625000,4000000,1416666.6666666667,25000,7800000,20.666666666666668,24.75,25.3,28,24.833333333333332,27.75,24.5,22,37,25.6,NA,NA,15000000,1200000,20,30
Poland,2024,7500000,8833333.333333334,6971428.571428572,6600000,3400000,6000000,2616666.6666666665,2500000,2000000,9250000,24.25,28,28.571428571428573,30.4,25.166666666666668,29.2,28.333333333333332,22.5,21,28.5,NA,NA,12000000,1500000,23,24
Poland,2025,4883333.333333333,8166666.666666667,6010000,6125000,3333333.3333333335,5642857.142857143,5416666.666666667,NA,1500000,7490000,23.666666666666668,29,27.2,31.25,25,27.142857142857142,29.333333333333332,NA,22,28.2,NA,NA,20000000,250000,24,34
Uruguay,2018,6250000,9750000,11212500,29000000,18750000,5133333.333333333,NA,5625000,3500000,1437500,26.5,23.5,25,27.2,20.5,31,NA,21.5,27,26,NA,NA,1000000,NA,32,NA
Uruguay,2019,9000000,14500000,15108333.333333334,32700000,45000000,3312500,3000000,10066666.666666666,NA,725000,25.333333333333332,23.333333333333332,26.166666666666668,28.2,21.5,30.25,24,22,NA,23,NA,NA,NA,NA,NA,NA
Uruguay,2020,15500000,27750000,14192857.142857144,22100000,28383333.333333332,860000,6000000,200000,NA,3500000,23,22.75,27,26.6,22.333333333333332,32,19,22,NA,31,NA,NA,NA,NA,NA,NA
Uruguay,2021,6966666.666666667,24166666.666666668,19300000,13142857.142857144,25833333.333333332,1762500,4333333.333333333,1633333.3333333333,600000,1650000,25.666666666666668,25,28.6,25.714285714285715,22,30,21.666666666666668,23.333333333333332,20,29,NA,NA,NA,NA,NA,NA
Uruguay,2022,16000000,22200000,14087500,12750000,17833333.333333332,1920000,2600000,11500000,5000000,1500000,25,26,28,27.166666666666668,23,31.4,22.5,24,20.5,28.333333333333332,NA,NA,NA,NA,NA,NA
Uruguay,2023,16500000,21583333.333333332,13455555.555555556,12225000,16000000,1410000,3191666.6666666665,6500000,2925000,1537500,26,26,24.11111111111111,24.5,22,24.8,22.666666666666668,24.8,20.25,25.5,NA,NA,NA,NA,NA,NA
Uruguay,2024,16000000,20191666.666666668,12065000,8677500,11750000,1666666.6666666667,2189285.714285714,4915625,3480555.5555555555,1400000,29,24.666666666666668,24.2,24.8,22.77777777777778,25.166666666666668,22,25.125,22.88888888888889,25.571428571428573,500000,21,NA,NA,NA,NA
Uruguay,2025,14000000,42125000,15583333.333333334,16700000,21440000,3750000,6000000,10633333.333333334,7700000,1575000,30,26.75,24.833333333333332,25,25.8,27,24,25.666666666666668,23.5,25,NA,NA,NA,NA,NA,NA
Iran,2018,1150000,487500,428571.4285714286,2900000,900000,529166.6666666666,1000000,1375000,2250000,866666.6666666666,28.5,22.75,26.428571428571427,25.166666666666668,25.75,25.166666666666668,26,24.75,25.333333333333332,26,NA,NA,NA,NA,NA,NA
Iran,2019,1775000,633333.3333333334,875000,4500000,675000,1080000,641666.6666666666,1383333.3333333333,2170000,508333.3333333333,31,25.333333333333332,28.4,26.8,27,27.6,26,26.333333333333332,25.6,30.666666666666668,NA,NA,NA,NA,NA,NA
Iran,2020,4000000,800000,1180000,6375000,650000,866666.6666666666,575000,2400000,1066666.6666666667,483333.3333333333,26,24.333333333333332,25.4,26.75,25,26.666666666666668,26,27.5,25.333333333333332,24,NA,NA,NA,NA,NA,NA
Iran,2021,1275000,666666.6666666666,704166.6666666666,7720000,437500,850000,691666.6666666666,1106250,2070000,1025000,22.5,24.666666666666668,26.666666666666668,28.2,27.25,28,26.666666666666668,25.5,24,25.5,NA,NA,NA,NA,NA,NA
Iran,2022,3000000,665000,607500,5759375,595833.3333333334,890000,512500,1000000,2762500,625000,28,27.4,25.7,25.875,27.5,28,24.75,25.5,23.25,25.4,NA,NA,NA,NA,NA,NA
Iran,2023,1050000,908333.3333333334,961111.1111111111,3207142.8571428573,600000,780000,2287500,850000,1600000,650000,25.666666666666668,28.666666666666668,29.11111111111111,28.857142857142858,30.6,29.8,28.75,30.666666666666668,27.75,29,NA,NA,NA,NA,NA,NA
Iran,2024,1200000,733333.3333333334,1015625,3011111.111111111,425000,658333.3333333334,1350000,687500,2566666.6666666665,837500,25,26,26.75,26.555555555555557,28.75,27,25.75,27.5,26.333333333333332,26.5,NA,NA,NA,NA,NA,NA
Iran,2025,850000,750000,836111.1111111111,2800000,883333.3333333334,557142.8571428572,2633333.3333333335,800000,1625000,645000,27,24.5,27.77777777777778,27.142857142857142,27.333333333333332,28.428571428571427,25.333333333333332,28.333333333333332,26.166666666666668,28.2,NA,NA,NA,NA,NA,NA
Argentine,2018,12500000,6650000,10275000,47000000,9392857.142857144,3906250,10166666.666666666,7500000,36583333.333333336,2250000,24.25,25.8,25.5,25,27.142857142857142,29,24,27.333333333333332,26.166666666666668,22.666666666666668,51500000,23,NA,NA,NA,NA
Argentine,2019,18750000,12500000,9375000,22458333.333333332,11125000,4200000,11000000,12083333.333333334,56500000,6250000,23,22.2,24.416666666666668,25.666666666666668,26,27.8,21.666666666666668,27.666666666666668,27.5,23,52666666.666666664,24,NA,NA,NA,NA
Argentine,2020,50000000,20000000,10666666.666666666,38000000,17500000,7375000,16333333.333333334,25000000,62666666.666666664,10000000,23,22,23.666666666666668,24.333333333333332,25,29.75,25.666666666666668,27.5,30.666666666666668,22,38000000,25,NA,NA,NA,NA
Argentine,2021,35000000,21000000,12857142.857142856,33500000,16000000,9442857.142857144,27000000,20000000,66000000,6000000,24,23.333333333333332,24.571428571428573,25.75,26,28.857142857142858,26.666666666666668,28.5,32.5,22.5,46666666.666666664,26,NA,NA,NA,NA
Argentine,2022,22333333.333333332,17500000,15333333.333333334,35000000,22500000,13600000,20000000,16500000,27666666.666666668,13500000,26,23.25,24.88888888888889,23.333333333333332,27,30,25.75,29.5,32,23.5,40000000,27,NA,NA,NA,NA
Argentine,2023,15500000,38000000,22250000,47333333.333333336,21500000,13840000,15250000,11500000,30000000,17000000,22,24.25,26.125,24.666666666666668,28,30.6,22.75,30.5,34.5,24.5,35000000,28,NA,NA,NA,NA
Argentine,2024,10750000,45600000,20166666.666666668,71666666.66666667,16000000,11440000,32333333.333333332,4750000,16875000,27500000,20.75,24,26.333333333333332,24.666666666666668,29,31.6,22,27,28,25.5,22500000,29,NA,NA,NA,NA
Argentine,2025,19333333.333333332,45200000,15535000,42960000,13500000,11050000,22666666.666666668,5250000,14250000,15000000,25.333333333333332,25,26.8,23.4,24.4,30.5,23.333333333333332,32.5,23.5,26.5,15000000,29,NA,NA,NA,NA
Nigeria,2018,NA,2000000,1280000,4975000,4085714.285714286,250000,7900000,833333.3333333334,10500000,1075000,NA,27.5,24.2,22.666666666666668,24,25,21.8,25.666666666666668,23.5,21.5,NA,NA,NA,NA,NA,NA
