date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,result
2018-11-17,South Africa,Nigeria,9,13,1541,1695,tie
2018-11-18,Switzerland,Belgium,6,10,1865,1926,win
2018-11-18,England,Croatia,13,7,1932,1855,win
2018-11-18,Northern Ireland,Austria,4,7,1674,1711,lose
2018-11-18,Greece,Estonia,6,4,1660,1506,lose
2018-11-18,Hungary,Finland,10,9,1611,1594,win
2018-11-18,San Marino,Belarus,0,11,852,1496,lose
2018-11-18,Moldova,Luxembourg,9,7,1330,1321,tie
2018-11-18,Spain,Bosnia and Herzegovina,9,8,2030,1723,win
2018-11-18,Guinea,Ivory Coast,8,11,1468,1601,tie
2018-11-18,Angola,Burkina Faso,10,7,1239,1602,win
2018-11-18,Togo,Algeria,6,7,1379,1535,lose
2018-11-18,Liberia,Zimbabwe,7,8,1304,1461,win
2018-11-18,Mauritania,Botswana,12,4,1297,1253,win
2018-11-18,Mozambique,Zambia,7,7,1312,1498,win
2018-11-18,Lesotho,Tanzania,7,7,1266,1294,win
2018-11-19,Germany,Netherlands,7,8,2108,1894,tie
2018-11-19,Czech Republic,Slovakia,9,4,1712,1747,win
2018-11-19,Bulgaria,Slovenia,8,3,1620,1639,tie
2018-11-19,Cyprus,Norway,5,10,1409,1581,lose
2018-11-19,Andorra,Latvia,3,3,1012,1362,tie
2018-11-19,Georgia,Kazakhstan,13,6,1481,1339,win
2018-11-19,Liechtenstein,Armenia,4,7,1167,1480,tie
2018-11-19,Iceland,Qatar,2,10,1811,1455,tie
2018-11-19,Oman,Bahrain,7,5,1516,1420,win
2018-11-19,Curaçao,Guadeloupe,13,4,1266,1265,win
2018-11-19,Martinique,Antigua and Barbuda,13,4,1428,1202,win
2018-11-20,Portugal,Poland,11,2,1993,1841,tie
2018-11-20,Sweden,Russia,8,7,1823,1696,win
2018-11-20,Scotland,Israel,9,9,1719,1533,win
2018-11-20,Montenegro,Romania,6,11,1612,1687,lose
2018-11-20,Serbia,Lithuania,11,0,1783,1406,win
2018-11-20,Kosovo,Azerbaijan,13,8,1371,1400,win
2018-11-20,Malta,Faroe Islands,3,2,1214,1280,tie
2018-11-20,Albania,Wales,4,3,1608,1764,win
2018-11-20,Argentina,Mexico,10,3,1984,1847,win
2018-11-20,Australia,Lebanon,8,5,1729,1456,win
2018-11-20,Brazil,Cameroon,15,5,2113,1644,win
2018-11-20,Chile,Honduras,7,4,1859,1610,win
2018-11-20,El Salvador,Haiti,9,9,1455,1493,win
2018-11-20,France,Uruguay,10,3,1988,1865,win
2018-11-20,Iran,Venezuela,11,8,1800,1738,tie
2018-11-20,Iraq,Bolivia,6,6,1573,1706,tie
